Names,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total tests,Population
USA,111568359,,1216502.0,,109335248.0,,1016609.0,1525.0,1186765074.0,334805269.0
India,45030467,,533499.0,,,,,,935879495.0,1406631776.0
France,40138560,,167642.0,,39970918.0,,0.0,,271490188.0,65584518.0
Germany,38822926,,182669.0,,38240600.0,,399657.0,,122332384.0,83883596.0
Brazil,38452504,,709963.0,,36249161.0,,1493380.0,,63776166.0,215353593.0
S. Korea,34571873,,35934.0,,34535939.0,,0.0,,15804065.0,51329899.0
Japan,33803572,,74694.0,,,,,,100414883.0,125584838.0
Italy,26719511,,196348.0,,26351971.0,,171192.0,45.0,280517410.0,60262770.0
UK,24902971,,232112.0,,24666932.0,,3927.0,,522526476.0,68497907.0
Russia,24009604,,402399.0,,23424670.0,,182535.0,,273400000.0,145805947.0
Turkey,17232066,,102174.0,,,,,,162743369.0,85561976.0
Spain,13914811,,121760.0,,13762417.0,,30634.0,231.0,471036328.0,46719142.0
Australia,11826396,"+1,142",24289.0,,11789903.0,,12204.0,12.0,81916639.0,26068792.0
Vietnam,11625195,,43206.0,,10640971.0,,941018.0,,85826548.0,98953541.0
Taiwan,10241523,,19005.0,,10222518.0,,0.0,,30742304.0,23888595.0
Argentina,10094643,,130733.0,,9963910.0,,0.0,,35716069.0,46010234.0
Netherlands,8634822,,22992.0,,8611480.0,+498,350.0,,25984435.0,17211447.0
Mexico,7702809,,334958.0,,6899865.0,,467986.0,,20013810.0,131562772.0
Iran,7626527,,146799.0,,,,,,57320267.0,86022837.0
Indonesia,6829005,,162062.0,,6647104.0,,19839.0,,114158919.0,279134505.0
Poland,6660687,,120578.0,,,,,,39286858.0,37739785.0
Colombia,6400173,,143200.0,,6212152.0,,44821.0,342.0,36951507.0,51512762.0
Greece,6101379,,37869.0,,,,,,102228365.0,10316637.0
Austria,6081287,,22542.0,,6054934.0,,3811.0,,211273524.0,9066710.0
Portugal,5642449,,28103.0,,5614102.0,,244.0,61.0,46139518.0,10140570.0
Ukraine,5557995,,112418.0,,5445577.0,,0.0,,32603805.0,43192122.0
Chile,5369761,,64497.0,,5252450.0,,52814.0,7.0,50382097.0,19250195.0
Malaysia,5276312,,37348.0,,5230953.0,,8011.0,11.0,68580916.0,33181072.0
Canada,4933311,,58475.0,,4862824.0,+665,12012.0,99.0,66572774.0,38388419.0
Belgium,4859804,,34376.0,,4823043.0,+110,2385.0,,37454182.0,11668278.0
Israel,4841772,,12707.0,,4798473.0,,30592.0,,41373364.0,9326000.0
DPRK,4772813,,74.0,,4772739.0,,0.0,,,25990679.0
Thailand,4767700,,34569.0,,4692636.0,,40495.0,,17273454.0,70078203.0
Czechia,4758650,,43509.0,,4714429.0,,712.0,3.0,57807143.0,10736784.0
Peru,4572667,,222161.0,,4350506.0,,0.0,4.0,39010194.0,33684208.0
Switzerland,4451785,,14452.0,,4436934.0,+481,399.0,,23833472.0,8773637.0
Philippines,4140383,,66864.0,,4067381.0,,6138.0,,36102746.0,112508994.0
South Africa,4076463,,102595.0,,3912506.0,,61362.0,192.0,26795090.0,60756135.0
Romania,3527050,,68894.0,,3457179.0,"+1,091",977.0,41.0,28660306.0,19031335.0
Denmark,3183756,,8814.0,,3174942.0,,0.0,,129333107.0,5834950.0
Singapore,3006155,,2024.0,,3003213.0,+306,918.0,4.0,24756666.0,5943546.0
Hong Kong,2930929,,14640.0,,2912233.0,,4056.0,,76127725.0,7604299.0
Sweden,2753556,,27354.0,,2725477.0,+19,725.0,,19500873.0,10218971.0
Serbia,2614248,,18057.0,,2595987.0,+313,204.0,,13427937.0,8653016.0
New Zealand,2598630,,5574.0,,2588718.0,,4338.0,,7768604.0,4898203.0
Iraq,2465545,,25375.0,,2439497.0,,673.0,,19544451.0,42164965.0
Hungary,2229987,,49040.0,,2152155.0,,28792.0,,11394556.0,9606259.0
Bangladesh,2048186,,29488.0,,,,,,15254399.0,167885689.0
Slovakia,1877383,,21221.0,,1856162.0,,0.0,23.0,7448789.0,5460193.0
Georgia,1855289,,17132.0,,,,,,16920079.0,3968738.0
Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,17201885.0,10300869.0
Ireland,1733755,,9481.0,,1723629.0,,645.0,19.0,13083449.0,5020199.0
Pakistan,1581936,,30664.0,,1538689.0,,12583.0,,30589153.0,229488994.0
Finland,1515575,,11949.0,,1503164.0,+17,462.0,,12108977.0,5554960.0
Norway,1509732,,6638.0,,1503024.0,,70.0,,11002430.0,5511370.0
Kazakhstan,1411831,,13848.0,,1383020.0,,14963.0,24.0,11575012.0,19205043.0
Lithuania,1396731,,9897.0,,1385746.0,,1088.0,,10540357.0,2661708.0
Slovenia,1356459,,7100.0,,1349293.0,,66.0,,2847701.0,2078034.0
Bulgaria,1339507,,38737.0,,1292640.0,,8130.0,36.0,11636936.0,6844597.0
Croatia,1309728,,18687.0,,1258432.0,,32609.0,,5660084.0,4059286.0
Guatemala,1288588,,20285.0,,1265533.0,,2770.0,5.0,7593848.0,18584039.0
Morocco,1278944,,16301.0,,,,,,13001033.0,37772756.0
Lebanon,1243838,,10952.0,,1087587.0,,145299.0,74.0,4795578.0,6684849.0
Costa Rica,1238883,,9428.0,,,,,,4659757.0,5182354.0
Bolivia,1211716,,22407.0,,1177145.0,,12164.0,220.0,2710261.0,11992656.0
Tunisia,1153361,,29423.0,,,,,,5013383.0,12046656.0
Cuba,1115243,,8530.0,,1106647.0,,66.0,,14401151.0,11305652.0
Ecuador,1070188,,36043.0,,1034145.0,,0.0,,3082403.0,18113361.0
UAE,1067030,,2349.0,,,,,,200732262.0,10081785.0
Panama,1059893,,8727.0,,1051102.0,,64.0,16.0,7882622.0,4446964.0
Uruguay,1041111,,7664.0,,1030944.0,,2503.0,18.0,6114822.0,3496016.0
Mongolia,1011459,,2284.0,,1009175.0,,0.0,,4030048.0,3378078.0
Nepal,1003450,,12031.0,,991322.0,,97.0,,6047766.0,30225582.0
Belarus,994037,,7118.0,,985592.0,,1327.0,,13646641.0,9432800.0
Latvia,982280,,6686.0,,971406.0,,4188.0,,7885792.0,1848837.0
Saudi Arabia,841469,,9646.0,,,,,,45481735.0,35844909.0
Paraguay,837602,,20155.0,,,,,,2657506.0,7305843.0
Azerbaijan,834649,,10400.0,,824089.0,,160.0,,7748050.0,10300205.0
Bahrain,729549,,1574.0,,727915.0,,60.0,,10948549.0,1783983.0
Cyprus,681110,,1365.0,,679745.0,,0.0,,9640118.0,1223387.0
Dominican Republic,675890,,4384.0,,671316.0,,190.0,4.0,3740928.0,11056370.0
Sri Lanka,672750,,16897.0,,655852.0,,1.0,,6486117.0,21575842.0
Kuwait,667094,,2570.0,,,,,,8455743.0,4380326.0
Myanmar,641801,,19495.0,,620159.0,,2147.0,,11672345.0,55227143.0
Moldova,634508,,12206.0,,,,,,3216305.0,4013171.0
Estonia,627820,,3001.0,,,,,,6944652.0,1321910.0
Palestine,621008,,5404.0,,615445.0,,159.0,,3078533.0,5345541.0
Venezuela,552695,,5856.0,,546537.0,,302.0,31.0,3359014.0,29266991.0
Egypt,516023,,24613.0,,442182.0,,49228.0,122.0,3693367.0,106156692.0
Qatar,514524,,690.0,,513687.0,,147.0,16.0,4065369.0,2979915.0
Libya,507274,,6437.0,,500835.0,,2.0,,2483848.0,7040745.0
Ethiopia,501117,,7574.0,,488171.0,,5372.0,,5565340.0,120812698.0
Réunion,494595,,921.0,,,,,,1603660.0,908061.0
Honduras,474590,,11165.0,,,,,,1660662.0,10221247.0
Armenia,451426,,8776.0,,435162.0,,7488.0,,3242901.0,2971966.0
Bosnia and Herzegovina,403585,,16385.0,,379084.0,,8116.0,,1884721.0,3249317.0
Oman,399449,,4628.0,,,,,,25000000.0,5323993.0
Luxembourg,391117,,1232.0,,,,,,4587145.0,642371.0
North Macedonia,350520,,9971.0,,337068.0,,3481.0,,2226216.0,2081304.0
Zambia,349304,,4069.0,,341316.0,,3919.0,,4112961.0,19470234.0
Kenya,344130,,5689.0,,337309.0,,1132.0,,3967062.0,56215221.0
Brunei,343075,,225.0,,243601.0,,99249.0,3.0,717784.0,445431.0
Albania,334863,,3605.0,,330233.0,,1025.0,,1941032.0,2866374.0
Botswana,330442,,2801.0,,327049.0,,592.0,1.0,2026898.0,2441162.0
Montenegro,296492,,2846.0,,291794.0,,1852.0,,2769281.0,627950.0
